year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,AA,"American Airlines Inc.",DTW,"Detroit, MI: Detroit Metro Wayne County",401,97,37,3,14,0,42,2,2,7508,3208,218,635,19,3428
2023,8,AA,"American Airlines Inc.",ECP,"Panama City, FL: Northwest Florida Beaches International",62,20,5,0,2,0,13,1,0,2738,991,0,105,0,1642
2023,8,AA,"American Airlines Inc.",EGE,"Eagle, CO: Eagle County Regional",62,12,6,0,1,0,5,0,0,756,412,0,57,0,287
2023,8,AA,"American Airlines Inc.",ELP,"El Paso, TX: El Paso International",248,79,27,1,4,0,47,3,1,11859,2607,117,229,0,8906
2023,8,AA,"American Airlines Inc.",EUG,"Eugene, OR: Mahlon Sweet Field",62,23,5,0,1,0,17,0,0,1657,470,0,44,0,1143
2023,8,AA,"American Airlines Inc.",EWR,"Newark, NJ: Newark Liberty International",671,195,63,11,47,0,74,10,2,13847,4866,1221,2079,31,5650
2023,8,AA,"American Airlines Inc.",EYW,"Key West, FL: Key West International",92,13,6,1,0,0,6,2,0,1364,364,59,19,0,922
2023,8,AA,"American Airlines Inc.",FAT,"Fresno, CA: Fresno Yosemite International",244,69,26,2,8,0,33,2,0,5889,1672,158,310,21,3728
2023,8,AA,"American Airlines Inc.",FCA,"Kalispell, MT: Glacier Park International",72,18,6,0,5,0,7,0,0,1005,368,48,192,0,397
2023,8,AA,"American Airlines Inc.",FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",447,129,40,4,27,0,58,5,3,11667,3675,514,1169,9,6300
2023,8,AA,"American Airlines Inc.",FSD,"Sioux Falls, SD: Joe Foss Field",62,25,10,0,5,0,10,0,0,2900,800,0,344,0,1756
2023,8,AA,"American Airlines Inc.",GEG,"Spokane, WA: Spokane International",93,25,10,0,4,0,11,1,0,3519,714,0,143,0,2662
2023,8,AA,"American Airlines Inc.",GRR,"Grand Rapids, MI: Gerald R. Ford International",166,56,18,2,5,0,31,2,2,8476,2361,76,263,0,5776
2023,8,AA,"American Airlines Inc.",GSO,"Greensboro/High Point, NC: Piedmont Triad International",122,33,11,1,4,0,16,1,0,3809,496,169,154,3,2987
2023,8,AA,"American Airlines Inc.",GSP,"Greer, SC: Greenville-Spartanburg International",123,44,10,4,3,0,27,0,0,3849,753,324,122,27,2623
2023,8,AA,"American Airlines Inc.",HNL,"Honolulu, HI: Daniel K Inouye International",186,41,15,0,15,0,12,0,2,2878,959,0,370,0,1549
2023,8,AA,"American Airlines Inc.",HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",9,5,1,0,0,0,4,0,0,581,125,0,3,0,453
2023,8,AA,"American Airlines Inc.",IAD,"Washington, DC: Washington Dulles International",76,12,5,1,1,0,6,0,0,834,338,49,23,0,424
2023,8,AA,"American Airlines Inc.",IAH,"Houston, TX: George Bush Intercontinental/Houston",683,180,75,8,19,0,78,8,1,17333,7728,838,1105,0,7662
2023,8,AA,"American Airlines Inc.",ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",73,25,14,0,2,0,9,3,0,4343,2493,0,51,0,1799
2023,8,AA,"American Airlines Inc.",ILM,"Wilmington, NC: Wilmington International",184,59,21,4,9,0,26,3,0,4670,1496,309,430,0,2435
2023,8,AA,"American Airlines Inc.",IND,"Indianapolis, IN: Indianapolis International",561,170,50,4,25,1,90,5,0,17791,4270,345,1042,51,12083
